# meta data for user_specified_chebis.txt
# black magic: if the exact chebi ID match doesn't appear in chebi on browser, replace the chebi ID in this address:
# http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:132958
# SIGNIFICANT indicates that the abundance of this small molecule changed significantly according to the assay_results.txt ttest.
#
# Significant small molecules that are excluded from network:
#	Na_acetylglutamine (alias N-alpha-acetylglutamine (urinary metabolite)) has no exact ChEBI matches.
#	Na_acetylglutamine aliases and similar structures do not appear in used-to-produce.sif (73685, 21553)
#	UDP-hexose had no exact matches and no aliases or similar structures in ChEBI
#
# Insignificant small molecules that are excluded from network:
#   hydroxyproline
#   betaine (vague classification)
#   Ne-acetyllysine
#   C5_carnitines
#	F6P_G1P (fructose-6-phosphate and glucose-1-phosphate...bound? both? ?)
#	N-acetylglutamate (see carglumic acid?)
#   fructose_1,6-bisphosphate (D-fructose 1,6-bisphosphate 78682 is closest match and doesn't appear in sif
#   urate (difficulty in determining if we should include urate radical (89161)
#   ribose_ribulose_5-phosphate (does this mean either of ribose 5-phosphate or ribulose 5-phosphate?)
#   acetylserine (45441, 17981, 58340 don't appear in used-to-produce.sif)

ADDED_CHEBI_ID	METAB_OF_INTEREST	ADDED_ID_NAME	SIGNIFICANT	DETAILS
CHEBI:29990	aspartate	D-aspartate(1-)	YES	Exact aspartate match (132943) doesn't appear in used-to-produce.sif. Nor do aspartate(1-) or L- or D- aspartate(2-) ions (35391,29993,29994).
CHEBI:29991	aspartate	L-aspartate(2-)	YES	Exact aspartate match (132943) doesn't appear in used-to-produce.sif. Nor do aspartate(1-) or L- or D- aspartate(2-) ions (35391,29993,29994).
CHEBI:29995	aspartate	aspartate(2-)	YES	Exact aspartate match (132943) doesn't appear in used-to-produce.sif. Nor do aspartate(1-) or L- or D- aspartate(2-) ions (35391,29993,29994).
CHEBI:6650	malate	malic acid	YES	Exact malate match (25115) doesn't appear in used-to-produce.sif. Nor does malate(2-) ion (15595). Malate(1-) does not appear in ChEBI).
CHEBI:21557	N-acetylmethionine	N-acetyl-L-methionine	YES Exact N-acetylmethionine match (132958) doesn't appear in used-to-produce.sif. Nor does D- isomer (85210) or it's 1- ion (85220).
CHEBI:16947	citrate	citrate(3-)	YES	No exact ChEBI match found for citrate. Other ions do not appear in used-to-produce.sif (1- ion: 35804; 2- ion: 35808).
CHEBI:16383	cis-aconitate	cis-aconitate(3-)	YES	No exact ChEBI match found for cis-aconitate. Nor for cis-aconitate(1-) or (2-) ions.
CHEBI:16863	6-phosphogluconate	6-phospho-D-gluconate	YES	No exact ChEBI match found for 6-phosphogluconate. Nor fofr 6-phospho-L-gluconate.
CHEBI:37154	fumarate	fumarate(1-)	YES	No exact ChEBI match found for fumarate.
CHEBI:29806	fumarate	fumarate(2-)	YES	No exact ChEBI match found for fumarate.
